Date,AAPL,BAC,DFS,META,RIVN,TSLA
2018-01-02 00:00:00+00:00,40.52434539794922,25.491640090942383,65.86505889892578,180.8754119873047,100.7300033569336,21.368667602539062
2018-01-03 00:00:00+00:00,40.517295837402344,25.40638732910156,66.35318756103516,184.1156463623047,100.7300033569336,21.149999618530273
2018-01-04 00:00:00+00:00,40.70549011230469,25.73888397216797,67.01261901855469,183.77667236328125,100.7300033569336,20.974666595458984
2018-01-05 00:00:00+00:00,41.16893005371094,25.858247756958008,66.93553161621094,186.2891082763672,100.7300033569336,21.10533332824707
2018-01-08 00:00:00+00:00,41.01602554321289,25.6792049407959,66.43025970458984,187.71481323242188,100.7300033569336,22.42733383178711
2018-01-09 00:00:00+00:00,41.01131439208984,25.80709457397461,67.00405883789062,187.30604553222656,100.7300033569336,22.246000289916992
2018-01-10 00:00:00+00:00,41.00189971923828,26.04581069946289,68.05741119384766,187.276123046875,100.7300033569336,22.31999969482422
2018-01-11 00:00:00+00:00,41.23480224609375,26.13959312438965,68.81959533691406,187.2063446044922,100.7300033569336,22.530000686645508
2018-01-12 00:00:00+00:00,41.66059875488281,26.591449737548828,68.94806671142578,178.83154296875,100.7300033569336,22.4146671295166
2018-01-16 00:00:00+00:00,41.44887924194336,26.634078979492188,67.6035385131836,177.8544921875,100.7300033569336,22.67066764831543
2018-01-17 00:00:00+00:00,42.13346099853515,26.582931518554688,67.594970703125,177.06687927246094,100.7300033569336,23.143999099731445
2018-01-18 00:00:00+00:00,42.17110061645508,26.838687896728516,66.98689270019531,179.26026916503906,100.7300033569336,22.971332550048828
2018-01-19 00:00:00+00:00,41.98291015625,27.043312072753903,67.07256317138672,180.74578857421875,100.7300033569336,23.334667205810547
2018-01-22 00:00:00+00:00,41.639434814453125,27.230873107910156,67.54357147216797,184.81353759765625,100.7300033569336,23.437332153320312
2018-01-23 00:00:00+00:00,41.64884567260742,27.213817596435547,67.41511535644531,188.7816162109375,100.7300033569336,23.519332885742188
2018-01-24 00:00:00+00:00,40.985450744628906,27.358755111694336,67.4322509765625,185.99002075195312,100.7300033569336,23.05933380126953
2018-01-25 00:00:00+00:00,40.253807067871094,27.358755111694336,68.76821899414062,186.91720581054688,100.7300033569336,22.50933265686035
2018-01-26 00:00:00+00:00,40.347904205322266,27.452537536621097,69.35057067871094,189.42965698242188,100.7300033569336,22.856666564941406
2018-01-29 00:00:00+00:00,39.51277160644531,27.520742416381836,69.63317108154297,185.4217071533203,100.7300033569336,23.302000045776367
2018-01-30 00:00:00+00:00,39.27986907958984,27.17971992492676,68.27152252197266,186.5582733154297,100.7300033569336,23.05466651916504
2018-01-31 00:00:00+00:00,39.38809967041016,27.28202438354492,68.34002685546875,186.3289794921875,100.7300033569336,23.62066650390625
2018-02-01 00:00:00+00:00,39.470420837402344,27.708301544189453,69.04226684570312,192.51036071777344,100.7300033569336,23.28333282470703
2018-02-02 00:00:00+00:00,37.7578010559082,27.23939323425293,67.62921905517578,189.70880126953125,100.7300033569336,22.916667938232425
2018-02-05 00:00:00+00:00,36.81443786621094,25.79856300354004,64.12660217285156,180.71588134765625,100.7300033569336,22.208667755126953
2018-02-06 00:00:00+00:00,38.35297775268555,26.59997177124023,65.20563507080078,184.75372314453125,100.7300033569336,22.264667510986328
2018-02-07 00:00:00+00:00,37.531944274902344,26.64259910583496,65.625244140625,179.63912963867188,100.7300033569336,23.0
2018-02-08 00:00:00+00:00,36.49920272827149,25.355234146118164,62.00273513793945,171.06495666503906,100.7300033569336,21.01533317565918
2018-02-09 00:00:00+00:00,36.94563293457031,25.858247756958008,63.467166900634766,175.5813446044922,100.7300033569336,20.69466781616211
2018-02-12 00:00:00+00:00,38.43376541137695,26.53177070617676,65.04290771484375,175.88046264648438,100.7300033569336,21.048667907714844
2018-02-13 00:00:00+00:00,38.81877899169922,26.582931518554688,65.51392364501953,172.63023376464844,100.7300033569336,21.577333450317383
2018-02-14 00:00:00+00:00,39.53451156616211,27.28202438354492,66.46451568603516,178.98110961914062,100.7300033569336,21.487333297729492
2018-02-15 00:00:00+00:00,40.862003326416016,27.46106338500977,67.28666687011719,179.4197998046875,100.7300033569336,22.271333694458008
2018-02-16 00:00:00+00:00,40.7297248840332,27.256450653076172,68.10879516601562,176.82760620117188,100.7300033569336,22.36599922180176
2018-02-20 00:00:00+00:00,40.59272003173828,27.22234535217285,68.19444274902344,175.4816436767578,100.7300033569336,22.31800079345703
2018-02-21 00:00:00+00:00,40.40847396850586,27.171192169189453,67.6009292602539,177.3759307861328,100.7300033569336,22.219999313354492
2018-02-22 00:00:00+00:00,40.74625778198242,27.01773452758789,66.87837982177734,178.4527130126953,100.7300033569336,23.07799911499023
2018-02-23 00:00:00+00:00,41.45488357543945,27.30760383605957,68.31484985351562,182.73977661132812,100.7300033569336,23.469999313354492
2018-02-26 00:00:00+00:00,42.27454376220703,27.64009666442871,69.18362426757812,184.37486267089844,100.7300033569336,23.82799911499023
2018-02-27 00:00:00+00:00,42.13753509521485,27.563373565673828,68.43528747558594,180.915283203125,100.7300033569336,23.39933204650879
2018-02-28 00:00:00+00:00,42.073768615722656,27.36728286743164,67.80735778808594,177.78472900390625,100.7300033569336,22.87066650390625
2018-03-01 00:00:00+00:00,41.33677673339844,26.939393997192383,64.69352722167969,175.41184997558594,100.7300033569336,22.062000274658203
2018-03-02 00:00:00+00:00,41.62260437011719,27.06776428222656,65.23542785644531,176.08981323242188,100.7300033569336,22.341333389282227
