Date,Optimized Portfolio,Equal-Weighted Portfolio
2018-01-03 00:00:00+00:00,0.9997192742067211,1.0019289676820327
2018-01-04 00:00:00+00:00,1.005842685138538,1.0048577812809685
2018-01-05 00:00:00+00:00,1.0122563140675864,1.0106814712200582
2018-01-08 00:00:00+00:00,1.008884931096965,1.0194583439533256
2018-01-09 00:00:00+00:00,1.0104855806825401,1.020008860809305
2018-01-10 00:00:00+00:00,1.0136658505169476,1.0247532353773776
2018-01-11 00:00:00+00:00,1.0169599805170293,1.0297943626570778
2018-01-12 00:00:00+00:00,1.024411245025031,1.026297256106103
2018-01-16 00:00:00+00:00,1.0228470567636483,1.0233856691065117
2018-01-17 00:00:00+00:00,1.0278955475547524,1.0286594059434622
2018-01-18 00:00:00+00:00,1.0323571661444682,1.0297644145489249
2018-01-19 00:00:00+00:00,1.0339359809964104,1.0346634170849698
2018-01-22 00:00:00+00:00,1.0346883697284097,1.0402991717904393
2018-01-23 00:00:00+00:00,1.0357238270101143,1.0442292988584205
2018-01-24 00:00:00+00:00,1.031004827574608,1.036450834405416
2018-01-25 00:00:00+00:00,1.0247667713721222,1.0335305084533848
2018-01-26 00:00:00+00:00,1.0275748134363303,1.0409557325441976
2018-01-29 00:00:00+00:00,1.019789647488354,1.0382122748141316
2018-01-30 00:00:00+00:00,1.0135729598736924,1.030888541703569
2018-01-31 00:00:00+00:00,1.0158298541895965,1.0361880047278178
2018-02-01 00:00:00+00:00,1.023924506297994,1.0442847390858532
2018-02-02 00:00:00+00:00,1.0013525802329872,1.0249515258179245
2018-02-05 00:00:00+00:00,0.9714465136913307,0.9894250800823573
2018-02-06 00:00:00+00:00,0.9975214203086641,1.008314451535531
2018-02-07 00:00:00+00:00,0.9890602913253161,1.0069656595312169
2018-02-08 00:00:00+00:00,0.9602019410740537,0.9624819596770865
2018-02-09 00:00:00+00:00,0.9723687500518208,0.9732026716888572
2018-02-12 00:00:00+00:00,0.9951751895954987,0.9910386896830689
2018-02-13 00:00:00+00:00,0.9983970483877923,0.9953041320106879
2018-02-14 00:00:00+00:00,1.0160475529526722,1.0105428969964172
2018-02-15 00:00:00+00:00,1.0305824485571926,1.025944922164993
2018-02-16 00:00:00+00:00,1.0259245211194181,1.0244629433890708
2018-02-20 00:00:00+00:00,1.023839858139458,1.0222235894517109
2018-02-21 00:00:00+00:00,1.0221094388965992,1.0207383687553533
2018-02-22 00:00:00+00:00,1.0234413578474961,1.0269831519861452
2018-02-23 00:00:00+00:00,1.0348858328531465,1.0424920166899365
2018-02-26 00:00:00+00:00,1.0470256940063787,1.0544574820746766
2018-02-27 00:00:00+00:00,1.0437651158075432,1.045039896814454
2018-02-28 00:00:00+00:00,1.039648892158404,1.0349900680192288
2018-03-01 00:00:00+00:00,1.0267814189688187,1.0129484741400994
2018-03-02 00:00:00+00:00,1.0312159520865398,1.0191244961005286
2018-03-05 00:00:00+00:00,1.0393550320385405,1.027890377088784
2018-03-06 00:00:00+00:00,1.03862712201458,1.0238249766068919
2018-03-07 00:00:00+00:00,1.0372140035079709,1.0280748351470572
2018-03-08 00:00:00+00:00,1.0410330576342013,1.0281742433458
2018-03-09 00:00:00+00:00,1.0541196734967653,1.038530756923241
2018-03-12 00:00:00+00:00,1.0589357226211462,1.0495064532102425
2018-03-13 00:00:00+00:00,1.0490353477183378,1.0388454246476593
2018-03-14 00:00:00+00:00,1.0440921201603046,1.028743706350436
2018-03-15 00:00:00+00:00,1.0439727972137378,1.0254398862172276
2018-03-16 00:00:00+00:00,1.0438378722930892,1.0267755086580894
2018-03-19 00:00:00+00:00,1.032286387956263,1.0062988471499716
2018-03-20 00:00:00+00:00,1.0307607736746587,0.998845454140873
2018-03-21 00:00:00+00:00,1.0216627509236231,0.9978302576915049
2018-03-22 00:00:00+00:00,1.0003068072375527,0.9736724935501315
2018-03-23 00:00:00+00:00,0.9745284141440469,0.9490939822061786
2018-03-26 00:00:00+00:00,1.0059597188599976,0.969422845771646
2018-03-27 00:00:00+00:00,0.9835790825958094,0.935692649345471
2018-03-28 00:00:00+00:00,0.9784967176787436,0.9222697392220583
2018-03-29 00:00:00+00:00,0.9904851671947924,0.9419859856830893
2018-04-02 00:00:00+00:00,0.9788805983943079,0.9198920150112662
2018-04-03 00:00:00+00:00,0.9859465538316445,0.9350263293011031
