,AAPL,BAC,DFS,META,RIVN,TSLA
count,1259.0,1259.0,1259.0,1259.0,1259.0,1259.0
mean,95.80811433436097,29.42560207436632,78.34030338769114,217.23653040394316,88.80249267196352,131.78497168712903
std,46.18987366533576,6.483674829909013,22.864822909488357,66.71306907851427,26.126791062500043,117.83585354730695
min,33.952552795410156,16.15730857849121,22.665462493896484,88.64311218261719,17.739999771118164,11.9313325881958
25%,48.993064880371094,24.78013324737549,62.424259185791016,170.01809692382812,100.7300033569336,21.078332901000977
50%,89.28797912597656,27.152578353881836,71.57445526123047,193.88623046875,100.7300033569336,80.57733154296875
75%,140.68762969970703,34.17107391357422,98.44438171386719,266.0639190673828,100.7300033569336,236.125
max,179.07656860351562,45.89174270629883,125.71980285644533,381.0327453613281,172.00999450683594,409.9700012207031
