Portfolio,Annual Return,Volatility,Sharpe Ratio
Optimized Portfolio,0.1314669704836165,0.25679423963241255,0.511954515303009
Equal-Weighted Portfolio,0.2146214819455535,0.3690762313730576,0.5815098987737761
