Date,AAPL,AMD,BAC,DFS,RIVN,TSLA
2018-01-02 00:00:00+00:00,40.52434158325195,10.979999542236328,25.491641998291016,65.86504364013672,,21.368667602539062
2018-01-03 00:00:00+00:00,40.51728057861328,11.550000190734863,25.406387329101562,66.35319519042969,,21.149999618530273
2018-01-04 00:00:00+00:00,40.705482482910156,12.119999885559082,25.7388916015625,67.01261901855469,,20.974666595458984
2018-01-05 00:00:00+00:00,41.16893768310547,11.880000114440918,25.858240127563477,66.93553924560547,,21.10533332824707
2018-01-08 00:00:00+00:00,41.016021728515625,12.279999732971191,25.679210662841797,66.4302978515625,,22.42733383178711
2018-01-09 00:00:00+00:00,41.01131820678711,11.819999694824219,25.807098388671875,67.00405883789062,,22.246000289916992
2018-01-10 00:00:00+00:00,41.001895904541016,11.960000038146973,26.04580307006836,68.05741119384766,,22.31999969482422
2018-01-11 00:00:00+00:00,41.23480224609375,12.140000343322754,26.139591217041016,68.8196029663086,,22.530000686645508
2018-01-12 00:00:00+00:00,41.66060256958008,12.020000457763672,26.59145164489746,68.94807434082031,,22.4146671295166
2018-01-16 00:00:00+00:00,41.448890686035156,11.90999984741211,26.634075164794922,67.60352325439453,,22.67066764831543
2018-01-17 00:00:00+00:00,42.13347244262695,12.180000305175781,26.58292007446289,67.59497833251953,,23.143999099731445
2018-01-18 00:00:00+00:00,42.17110061645508,12.470000267028809,26.83869171142578,66.9869155883789,,22.971332550048828
2018-01-19 00:00:00+00:00,41.982913970947266,12.59000015258789,27.043304443359375,67.07254791259766,,23.334667205810547
2018-01-22 00:00:00+00:00,41.639427185058594,12.649999618530273,27.230876922607422,67.54358673095703,,23.437332153320312
2018-01-23 00:00:00+00:00,41.64884948730469,12.9399995803833,27.213825225830078,67.4151382446289,,23.519332885742188
2018-01-24 00:00:00+00:00,40.985435485839844,12.710000038146973,27.35875701904297,67.43226623535156,,23.05933380126953
2018-01-25 00:00:00+00:00,40.2537956237793,12.40999984741211,27.35875701904297,68.76824951171875,,22.50933265686035
2018-01-26 00:00:00+00:00,40.34790802001953,12.949999809265137,27.45254135131836,69.35057067871094,,22.856666564941406
2018-01-29 00:00:00+00:00,39.51276397705078,13.319999694824219,27.520742416381836,69.63317108154297,,23.302000045776367
2018-01-30 00:00:00+00:00,39.27986526489258,12.869999885559082,27.179718017578125,68.2715072631836,,23.05466651916504
